nohup: ignoring input
psi0.01_Mdot3e-8_M0.01_Rd20	[2025-10-04 12:53:29] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M1.0e-02_Rd2.0e+01.h5
psi0.01_Mdot3e-8_M0.01_Rd50	[2025-10-04 12:53:32] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M1.0e-02_Rd5.0e+01.h5
psi0.01_Mdot3e-8_M0.01_Rd100	[2025-10-04 12:53:34] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M1.0e-02_Rd1.0e+02.h5
psi0.01_Mdot3e-8_M0.01_Rd150	[2025-10-04 12:53:37] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M1.0e-02_Rd1.5e+02.h5
psi0.01_Mdot3e-8_M0.01_Rd200	[2025-10-04 12:53:40] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M1.0e-02_Rd2.0e+02.h5
psi0.01_Mdot3e-8_M0.05_Rd10	[2025-10-04 12:53:42] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M5.0e-02_Rd1.0e+01.h5
psi0.01_Mdot3e-8_M0.05_Rd20	[2025-10-04 14:33:27] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M5.0e-02_Rd2.0e+01.h5
psi0.01_Mdot3e-8_M0.05_Rd50	[2025-10-04 14:45:28] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M5.0e-02_Rd5.0e+01.h5
psi0.01_Mdot3e-8_M0.05_Rd100	[2025-10-04 15:42:21] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M5.0e-02_Rd1.0e+02.h5
psi0.01_Mdot3e-8_M0.05_Rd150	[2025-10-04 15:42:24] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M5.0e-02_Rd1.5e+02.h5
psi0.01_Mdot3e-8_M0.05_Rd200	[2025-10-04 15:42:26] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M5.0e-02_Rd2.0e+02.h5
psi0.01_Mdot3e-8_M0.1_Rd10	[2025-10-04 15:42:29] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-08_M1.0e-01_Rd1.0e+01.h5
