# Grid R0: 0.1, R1: 1000, N: 1000, spacing: natural
# SimpleStar M: 1Msun, R: 1Rsun, T: 5770K, age: 959999.9999999957yr
# SimpleDiscEOS gamma: 1.0, mu: 2.33, alpha: 0.001, mu: 2.33, K0= 0.01
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000.0cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolutionFV tol: 0.5
# SingleFluidDrift diffusion: False settling: False van-leer: False
# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 960000.0yr
# R Sigma T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
539.0276142249999 9.447588951850512e-05 10.125135042293122 6.522591144903911e-11 2.1089711368522623e-09 1e-05 1e-05 -1.46638E-12 3.20835E-13
540.482280625 9.178734694843547e-05 10.11344703989806 6.498701382314002e-11 2.1012467802815252e-09 1e-05 1e-05 -1.43272E-12 3.12606E-13
541.938907225 8.917270841220352e-05 10.101788231084589 6.475582163368317e-11 2.093771566155754e-09 1e-05 1e-05 -1.39979E-12 3.04579E-13
543.397494025 8.663001845083029e-05 10.090158503821906 6.453258351759728e-11 2.0865535337356434e-09 1e-05 1e-05 -1.36756E-12 2.96747E-13
544.858041025 8.415737119308559e-05 10.078557746658834 6.431756586109605e-11 2.079601296175437e-09 1e-05 1e-05 -1.33602E-12 2.89107E-13
546.3205482249999 8.175290915693584e-05 10.066985848720035 6.411105375492713e-11 2.0729240714093086e-09 1e-05 1e-05 -1.30516E-12 2.81655E-13
547.7850156249999 7.941482207840819e-05 10.055442699702269 6.391335201039431e-11 2.0665317150027477e-09 1e-05 1e-05 -1.27497E-12 2.74386E-13
549.251443225 7.714134576727938e-05 10.04392818987069 6.372478623957053e-11 2.060434755079445e-09 1e-05 1e-05 -1.24543E-12 2.67295E-13
550.7198310250001 7.493076098901589e-05 10.032442210055148 6.354570400375106e-11 2.0546444294546158e-09 1e-05 1e-05 -1.21652E-12 2.60379E-13
552.190179025 7.278139237239892e-05 10.020984651646556 6.337647603404777e-11 2.0491727251008762e-09 1e-05 1e-05 -1.18825E-12 2.53634E-13
553.662487225 7.069160734228141e-05 10.009555406593236 6.321749752854761e-11 2.0440324200897045e-09 1e-05 1e-05 -1.16059E-12 2.47055E-13
555.1367556249999 6.865981507693683e-05 9.99815436739735 6.306918953063477e-11 2.039237128157189e-09 1e-05 1e-05 -1.13353E-12 2.40639E-13
556.612984225 6.668446548946528e-05 9.986781427111307 6.293200039335205e-11 2.0348013460517144e-09 1e-05 1e-05 -1.10706E-12 2.34382E-13
558.0911730249999 6.476404823273918e-05 9.975436479334236 6.280640733502107e-11 2.030740503832346e-09 1e-05 1e-05 -1.08117E-12 2.28280E-13
559.5713220250001 6.289709172737367e-05 9.964119418208464 6.26929180916991e-11 2.027071018298269e-09 1e-05 1e-05 -1.05584E-12 2.22329E-13
561.0534312249999 6.108216221222818e-05 9.95283013841603 6.25920726722666e-11 2.023810349736618e-09 1e-05 1e-05 -1.03107E-12 2.16526E-13
562.5375006249999 5.931786281694223e-05 9.941568535175222 6.250444522260427e-11 2.0209770621975363e-09 1e-05 1e-05 -1.00685E-12 2.10868E-13
564.0235302250001 5.7602832656029936e-05 9.93033450423715 6.243064600521691e-11 2.0185908875020115e-09 1e-05 1e-05 -9.83156E-13 2.05351E-13
565.511520025 5.593574594406204e-05 9.919127941882337 6.237132350173786e-11 2.0166727932228558e-09 1e-05 1e-05 -9.59986E-13 1.99972E-13
567.001470025 5.431531113147108e-05 9.907948744917325 6.232716664558453e-11 2.015245054873898e-09 1e-05 1e-05 -9.37327E-13 1.94727E-13
568.493380225 5.2740270060533676e-05 9.896796810671342 6.229890719287519e-11 2.0143313325696295e-09 1e-05 1e-05 -9.15168E-13 1.89613E-13
569.9872506249999 5.120939714108185e-05 9.88567203699295 6.228732224012314e-11 2.0139567524306464e-09 1e-05 1e-05 -8.93501E-13 1.84628E-13
571.4830812249999 4.972149854551435e-05 9.874574322246762 6.229323689780013e-11 2.0141479930288687e-09 1e-05 1e-05 -8.72315E-13 1.79768E-13
